,tag,patterns,responses
162,something-else,I want to talk about something else,"['Okay sure. What do you want to talk about?', 'Alright no problem. Is there something you want to talk about?', 'Is there something else that you want to talk about?']"
163,something-else,Let's talk about something else.,"['Okay sure. What do you want to talk about?', 'Alright no problem. Is there something you want to talk about?', 'Is there something else that you want to talk about?']"
164,something-else,Can we not talk about this?,"['Okay sure. What do you want to talk about?', 'Alright no problem. Is there something you want to talk about?', 'Is there something else that you want to talk about?']"
165,something-else,I don't want to talk about this.,"['Okay sure. What do you want to talk about?', 'Alright no problem. Is there something you want to talk about?', 'Is there something else that you want to talk about?']"
166,friends,I don't have any friends,"[""I'm sorry to hear that. Just know that I'm here for you. Talking about it might help. Why do you think you don't have any friends?""]"
167,ask,Can I ask you something?,"[""Sure. I'll try my best to answer you"", ""Of course. Feel free to ask me anything. I'll do my best to answer you""]"
168,problem,Probably because my exams are approaching. I feel stressed out because I don't think I've prepared well enough.,['I see. Have you taken any approaches to not feel this way?']
169,problem,probably because of my exams,['I see. Have you taken any approaches to not feel this way?']
170,no-approach,I guess not. All I can think about are my exams.,"[""That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?""]"
171,no-approach,not really,"[""That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?""]"
172,no-approach,i guess not,"[""That's no problem. I can see why you'd be stressed out about that. I can suggest you some tips to alleviate this issue. Would you like to learn more about that?""]"
173,learn-more,ok sure. i would like to learn more about it.,"[""So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.""]"
174,learn-more,"yes, i would like to learn more about it.","[""So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.""]"
175,learn-more,i would like to learn more about it.,"[""So first I would suggest you to give yourself a break. Thinking more and more about the problem definitely does not help in solving it. You'll just end up overwhelming yourself.""]"
176,user-agree,yeah you're right. i deserve a break.,"['Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind.']"
177,user-agree,Yeah you're absolutely right about that,"['Next, I would suggest you to practice meditation. Meditation can produce a deep state of relaxation and a tranquil mind.']"
178,meditation,hmmm that sounds like it could be useful to me.,"['Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing.']"
179,meditation,That sounds useful.,"['Focus all your attention on your breathing. Concentrate on feeling and listening as you inhale and exhale through your nostrils. Breathe deeply and slowly. When your attention wanders, gently return your focus to your breathing.']"
180,user-meditation,i did what you said and i feel alot better. thank you very much.,"[""Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective.""]"
181,user-meditation,I feel better now,"[""Your welcome. Remember: Always focus on what's within your control. When you find yourself worrying, take a minute to examine the things you have control over. You can't prevent a storm from coming but you can prepare for it. You can't control how someone else behaves, but you can control how you react. Recognize that sometimes, all you can control is your effort and your attitude. When you put your energy into the things you can control, you'll be much more effective.""]"
182,jamila-useful,thank you very much again. i'll continue practicing meditation and focus on what i can control.,"[""I'm glad you found this useful. Is there something else I can help you with?""]"
183,user-advice,I want some advice.,"['Sure. What can I do to help?', 'Okay what do you need advice on?']"
184,user-advice,I need some advice.,"['Sure. What can I do to help?', 'Okay what do you need advice on?']"
185,user-advice,I need advice on something,"['Sure. What can I do to help?', 'Okay what do you need advice on?']"
186,learn-mental-health,I want to learn about mental health.,"[""Oh that's really great. I'd be willing to answer anything that I know about it.""]"
187,learn-mental-health,I want to learn more about mental health.,"[""Oh that's really great. I'd be willing to answer anything that I know about it.""]"
188,learn-mental-health,I'm interested in learning about mental health.,"[""Oh that's really great. I'd be willing to answer anything that I know about it.""]"
189,mental-health-fact,Tell me a fact about mental health,"['According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed', '1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime.', 'Depression is the leading cause of disability worldwide.']"
190,mental-health-fact,Tell me another fact about mental health,"['According to a UNICEF report, One in seven Indians between 15-24 years of age feels depressed', '1 in 5 young people (age 13-18) has or will develop a mental illness in their lifetime.', 'Depression is the leading cause of disability worldwide.']"
191,fact-1,What is mental health?,"['Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community', 'Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make choices.']"
192,fact-1,Define Mental Health,"['Mental health is a state of well-being in which the individual realizes his or her own abilities, can cope with the normal stresses of life, can work productively and fruitfully, and is able to make a contribution to his or her community', 'Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make choices.']"
193,fact-2,Why is mental health important?,"['Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships.']"
194,fact-2,What is the importance of mental health?,"['Maintaining mental health is crucial to stabilizing constructive behaviors, emotions, and thoughts. Focusing on mental health care can increase productivity, enhance our self-image, and improve relationships.']"
195,fact-3,What is Depression?,"['A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life.']"
196,fact-3,Define Depression,"['A mental health disorder characterised by persistently depressed mood or loss of interest in activities, causing significant impairment in daily life.']"
197,fact-5,How do i know if i have Depression?,"['For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.']"
198,fact-5,Am i depressed?,"['For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.']"
199,fact-5,Am i suffering from depression?,"['For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.']"
200,fact-5,Am i mentally ill?,"['For a diagnosis of depression, a person needs to have experienced low mood or loss of interest or pleasure in life for at least 2 weeks. Also, they will have experienced the following symptoms: feelings of sadness, hopelessness, or irritability nearly every day.']"
201,fact-6,What is a therapist?,"['A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. ']"
202,fact-6,What does a therapist do?,"['A therapist is a broad designation that refers to professionals who are trained to provide treatment and rehabilitation. The term is often applied to psychologists, but it can include others who provide a variety of services, including social workers, counselors, life coaches, and many others. ']"
203,fact-7,What is therapy?,"['Therapy is a form of treatment that aims to help resolve mental or emotional issues.', 'Therapy is a form of treatment that aims to help resolve mental or emotional issues. It is helpful for those with mental health conditions or even everyday life challenges.']"
204,fact-7,Do i need therapy?,"['Therapy is a form of treatment that aims to help resolve mental or emotional issues.', 'Therapy is a form of treatment that aims to help resolve mental or emotional issues. It is helpful for those with mental health conditions or even everyday life challenges.']"
205,fact-7,Who is therapy for?,"['Therapy is a form of treatment that aims to help resolve mental or emotional issues.', 'Therapy is a form of treatment that aims to help resolve mental or emotional issues. It is helpful for those with mental health conditions or even everyday life challenges.']"
206,fact-8,What does it mean to have a mental illness?,"[""Mental illnesses are health conditions that disrupt a person's thoughts, emotions, relationships, and daily functioning. They are associated with distress and diminished capacity to engage in the ordinary activities of daily life. Mental illnesses fall along a continuum of severity: some are fairly mild and only interfere with some aspects of life, such as certain phobias. On the other end of the spectrum lie serious mental illnesses, which result in major functional impairment and interference with daily life. These include such disorders as major depression, schizophrenia, and bipolar disorder, and may require that the person receives care in a hospital. It is important to know that mental illnesses are medical conditions that have nothing to do with a person's character, intelligence, or willpower. Just as diabetes is a disorder of the pancreas, mental illness is a medical condition due to the brain's biology. Similarly to how one would treat diabetes with medication and insulin, mental illness is treatable with a combination of medication and social support. These treatments are highly effective, with 70-90 percent of individuals receiving treatment experiencing a reduction in symptoms and an improved quality of life. With the proper treatment, it is very possible for a person with mental illness to be independent and successful.""]"
207,fact-9,Who does mental illness affect?,"['It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their childÃ¢â‚¬â„¢s mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs).']"
208,fact-10,What causes mental illness?,"[""It is estimated that mental illness affects 1 in 5 adults in America, and that 1 in 24 adults have a serious mental illness. Mental illness does not discriminate; it can affect anyone, regardless of gender, age, income, social status, ethnicity, religion, sexual orientation, or background. Although mental illness can affect anyone, certain conditions may be more common in different populations. For instance, eating disorders tend to occur more often in females, while disorders such as attention deficit/hyperactivity disorder is more prevalent in children. Additionally, all ages are susceptible, but the young and the old are especially vulnerable. Mental illnesses usually strike individuals in the prime of their lives, with 75 percent of mental health conditions developing by the age of 24. This makes identification and treatment of mental disorders particularly difficult, because the normal personality and behavioral changes of adolescence may mask symptoms of a mental health condition. Parents and caretakers should be aware of this fact, and take notice of changes in their child's mood, personality, personal habits, and social withdrawal. When these occur in children under 18, they are referred to as serious emotional disturbances (SEDs).""]"
209,fact-11,What are some of the warning signs of mental illness?,"['Symptoms of mental health disorders vary depending on the type and severity of the condition. The following is a list of general symptoms that may suggest a mental health disorder, particularly when multiple symptoms are expressed at once. \n In adults:\n Confused thinking\n Long-lasting sadness or irritability\n Extreme highs and lows in mood\n Excessive fear, worrying, or anxiety\n Social withdrawal\n Dramatic changes in eating or sleeping habits\n Strong feelings of anger\n Delusions or hallucinations (seeing or hearing things that are not really there)\n Increasing inability to cope with daily problems and activities\n Thoughts of suicide\n Denial of obvious problems\n Many unexplained physical problems\n Abuse of drugs and/or alcohol\n \nIn older children and pre-teens:\n Abuse of drugs and/or alcohol\n Inability to cope with daily problems and activities\n Changes in sleeping and/or eating habits\n Excessive complaints of physical problems\n Defying authority, skipping school, stealing, or damaging property\n Intense fear of gaining weight\n Long-lasting negative mood, often along with poor appetite and thoughts of death\n Frequent outbursts of anger\n \nIn younger children:\n Changes in school performance\n Poor grades despite strong efforts\n Excessive worrying or anxiety\n Hyperactivity\n Persistent nightmares\n Persistent disobedience and/or aggressive behavior\n Frequent temper tantrums']"
210,fact-12,Can people with mental illness recover?,"['When healing from mental illness, early identification and treatment are of vital importance. Based on the nature of the illness, there are a range of effective treatments available. For any type of treatment, it is essential that the person affected is proactive and fully engaged in their own recovery process. Many people with mental illnesses who are diagnosed and treated respond well, although some might experience a return of symptoms. Even in such cases, with careful monitoring and management of the disorder, it is still quite possible to live a fulfilled and productive life.']"
211,fact-13,What should I do if I know someone who appears to have the symptoms of a mental disorder?,"[""Although Pandora cannot substitute for professional advice, we encourage those with symptoms to talk to their friends and family members and seek the counsel of a mental health professional. The sooner the mental health condition is identified and treated, the sooner they can get on the path to recovery. If you know someone who is having problems, don't assume that the issue will resolve itself. Let them know that you care about them, and that there are treatment options available that will help them heal. Speak with a mental health professional or counselor if you think your friend or family member is experiencing the symptoms of a mental health condition. If the affected loved one knows that you support them, they will be more likely to seek out help.""]"
212,fact-14,How can I find a mental health professional for myself or my child?,['Feeling comfortable with the professional you or your child is working with is critical to the success of the treatment. Finding the professional who best fits your needs may require research. Start by searching for providers in your area.']
213,fact-15,What treatment options are available?,"['Just as there are different types of medications for physical illness, different treatment options are available for individuals with mental illness. Treatment works differently for different people. It is important to find what works best for you or your child.']"
214,fact-16,"If I become involved in treatment, what do I need to know?","[""Since beginning treatment is a big step for individuals and families, it can be very overwhelming. It is important to be as involved and engaged in the treatment process as possible. Some questions you will need to have answered include:\n What is known about the cause of this particular illness?\n Are there other diagnoses where these symptoms are common?\n Do you normally include a physical or neurological examination?\n Are there any additional tests or exams that you would recommend at this point?\n Would you advise an independent opinion from another psychiatrist at this point?\n What program of treatment is the most helpful with this diagnosis?\n Will this program involve services by other specialists? If so, who will be responsible for coordinating these services?\n What do you see as the family's role in this program of treatment?\n How much access will the family have to the individuals who are providing the treatment?\n What medications are generally used with this diagnosis?\n How much experience do you have in treating individuals with this illness?\n What can I do to help you in the treatment?""]"
215,fact-17,What is the difference between mental health professionals?,"['There are many types of mental health professionals. The variety of providers and their services may be confusing. Each have various levels of education, training, and may have different areas of expertise. Finding the professional who best fits your needs may require some research.']"
216,fact-18,How can I find a mental health professional right for my child or myself?,['Feeling comfortable with the professional you or your child is working with is critical to the success of your treatment. Finding the professional who best fits your needs may require some research.']
217,fact-19,Where else can I get help?,"['Where you go for help will depend on the nature of the problem and/or symptoms and what best fits you. Often, the best place to start is by talking with someone you trust about your concerns, such as a family member, friend, clergy, healthcare provider, or other professionals. Having this social support is essential in healing from mental illness, and you will be able to ask them for referrals or recommendations for trusted mental health practitioners. Search for mental health resources in your area. Secondly, there are people and places throughout the country that provide services to talk, to listen, and to help you on your journey to recovery. Thirdly, many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members, and friends. Some support groups are peer led while others may be led by a mental health professional.']"
218,fact-20,What should I know before starting a new medication?,"['The best source of information regarding medications is the physician prescribing them. He or she should be able to answer questions such as:    \n1. What is the medication supposed to do? \n2. When should it begin to take effect, and how will I know when it is effective? \n3. How is the medication taken and for how long? What food, drinks, other medicines, and activities should be avoided while taking this medication? \n4. What are the side effects and what should be done if they occur? \n5. What do I do if a dose is missed? \n6. Is there any written information available about this medication? \n7. Are there other medications that might be appropriate? \n8. If so, why do you prefer the one you have chosen? \n9. How do you monitor medications and what symptoms indicate that they should be raised, lowered, or changed? \n10. All medications should be taken as directed. Most medications for mental illnesses do not work when taken irregularly, and extra doses can cause severe, sometimes dangerous side effects. Many psychiatric medications begin to have a beneficial effect only after they have been taken for several weeks.']"
219,fact-21,Where can I go to find therapy?,"['Different kinds of therapy are more effective based on the nature of the mental health condition and/or symptoms and the person who has them (for example, children will benefit from a therapist who specializes in childrenâ€™s mental health). However, there are several different types of treatment and therapy that can help.']"
220,fact-22,Where can I learn about types of mental health treatment?,"['Mental health conditions are often treated with medication, therapy or a combination of the two. However, there are many different types of treatment available, including Complementary & Alternative Treatments, self-help plans, and peer support. Treatments are very personal and should be discussed by the person with the mental health conditions and his or her team.']"
221,fact-23,What are the different types of mental health professionals?,['There are many types of mental health professionals. Finding the right one for you may require some research.']
222,fact-24,Where can I go to find a support group?,"['Many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members and friends. Some support groups are peer-led, while others may be led by a mental health professional.']"
223,fact-25,Can you prevent mental health problems?,"['We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious.']"
224,fact-26,Are there cures for mental health problems?,"['It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help.']"
225,fact-26,is there any cure for mental health problems?,"['It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help.']"
226,fact-27,What causes mental health problems?,"['Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events.']"
227,fact-28,What do I do if I'm worried about my mental health?,"['The most important thing is to talk to someone you trust. This might be a friend, colleague, family member, or GP. In addition to talking to someone, it may be useful to find out more information about what you are experiencing. These things may help to get some perspective on what you are experiencing, and be the start of getting help.']"
228,fact-29,How do I know if I'm unwell?,"['If your beliefs , thoughts , feelings or behaviours have a significant impact on your ability to function in what might be considered a normal or ordinary way, it would be important to seek help.']"
229,fact-30,How can I maintain social connections? What if I feel lonely?,"[""A lot of people are alone right now, but we don't have to be lonely. We're all in this together. Think about the different ways to connect that are most meaningful for you. For example, you might prefer a video chat over a phone call, or you might prefer to text throughout the day rather than one set time for a video call. Then, work with your social networks to make a plan. You might video chat with your close friends in the evening and phone a family member once a week. Remember to be mindful of people who may not be online. Check in by phone and ask how you can help. The quality of your social connections matter. Mindlessly scrolling through social media and liking a few posts usually doesn't build strong social connections. Make sure you focus on strategies that actually make you feel included and connected. If your current strategies don't help you feel connected, problem-solve to see if you can find a solution. Everyone feels lonely at times. Maybe you recently moved to a new city, are changing your circle of friends, lost someone important in your life, or lost your job and also lost important social connections with coworkers. Other people may have physical connections to others but may feel like their emotional or social needs aren't met. Measures like social distancing or self-isolation can make loneliness feel worse no matter why you feel lonely now. Reach out to the connections you do have. Suggest ways to keep in touch and see if you can set a regular time to connect. People may hesitate to reach out for a lot of different reasons, so don't be afraid to be the one who asks. Look for local community support groups and mutual aid groups on social media. This pandemic is bringing everyone together, so look for opportunities to make new connections. These groups are a great way to share your skills and abilities or seek help and support. Look for specialized support groups. Support groups are moving online, and there are a lot of different support lines to call if you need to talk to someone.""]"
230,fact-31,What's the difference between anxiety and stress?,"[""Stress and anxiety are often used interchangeably, and there is overlap between stress and anxiety. Stress is related to the same fight, flight, or freeze response as anxiety, and the physical sensations of anxiety and stress may be very similar. The cause of stress and anxiety are usually different, however. Stress focuses on mainly external pressures on us that we're finding hard to cope with. When we are stressed, we usually know what we're stressed about, and the symptoms of stress typically disappear after the stressful situation is over. Anxiety, on the other hand, isn't always as easy to figure out. Anxiety focuses on worries or fears about things that could threaten us, as well as anxiety about the anxiety itself. Stress and anxiety are both part of being human, but both can be problems if they last for a long time or have an impact on our well-being or daily life.""]"
231,fact-32,What's the difference between sadness and depression?,"[""Sadness is a normal reaction to a loss, disappointment, problems, or other difficult situations. Feeling sad from time to time is just another part of being human. In these cases, feelings of sadness go away quickly and you can go about your daily life. Other ways to talk about sadness might be feeling low, feeling down, or feeling blue.A person may say they are feeling depressed, but if it goes away on its own and doesn't impact life in a big way, it probably isn't the illness of depression. Depression is a mental illness that affects your mood, the way you understand yourself, and the way you understand and relate to things around you. It can also go by different names, such as clinical depression, major depressive disorder, or major depression. Depression can come up for no reason, and it lasts for a long time. It's much more than sadness or low mood. People who experience depression may feel worthless or hopeless. They may feel unreasonable guilty. Some people may experience depression as anger or irritability. It may be hard to concentrate or make decisions. Most people lose interest in things that they used to enjoy and may isolate themselves from others. There are also physical signs of depression, such as problems with sleep, appetite and energy and unexplainable aches or pains. Some may experience difficult thoughts about death or ending their life (suicide). Depression lasts longer than two weeks, doesn't usually go away on its own, and impacts your life. It's a real illness, and it is very treatable. It's important to seek help if you're concerned about depression.""]"
232,fact-32,difference between sadness and depression,"[""Sadness is a normal reaction to a loss, disappointment, problems, or other difficult situations. Feeling sad from time to time is just another part of being human. In these cases, feelings of sadness go away quickly and you can go about your daily life. Other ways to talk about sadness might be feeling low, feeling down, or feeling blue.A person may say they are feeling depressed, but if it goes away on its own and doesn't impact life in a big way, it probably isn't the illness of depression. Depression is a mental illness that affects your mood, the way you understand yourself, and the way you understand and relate to things around you. It can also go by different names, such as clinical depression, major depressive disorder, or major depression. Depression can come up for no reason, and it lasts for a long time. It's much more than sadness or low mood. People who experience depression may feel worthless or hopeless. They may feel unreasonable guilty. Some people may experience depression as anger or irritability. It may be hard to concentrate or make decisions. Most people lose interest in things that they used to enjoy and may isolate themselves from others. There are also physical signs of depression, such as problems with sleep, appetite and energy and unexplainable aches or pains. Some may experience difficult thoughts about death or ending their life (suicide). Depression lasts longer than two weeks, doesn't usually go away on its own, and impacts your life. It's a real illness, and it is very treatable. It's important to seek help if you're concerned about depression.""]"
233,i feel i have let my parents down,i feel i have let my parents down,"['No matter what,your parents will always be proud of you and will love you.you will feel much better if you share your feelings with them.']"
234,What are the types of depression?,what are the types of depression?,"['There are many different forms of depression but most common types are.clinical depression,persistent depressive disorder,bipolar disorder,postnatal disorder.']"
235,i am good for nothing.,i am good for nothing.,"[""don't ever think you cannot achieve what you want.you are capable of reaching your goals.here is a quote for you everything you can imagine is real.""]"
236,i am feeling stressed lately,i am feeling stressed lately,"['my research says that music is the best way to calm yourself.so visit the link and listen to your favourite music.it will definitely cheer you up ""https://www.spotify.com""']"
237,i want to kill myself,i want to kill myself,"['helpline is available,you can contact the counsellor today:Befrienders Kenya helpline number is +254 722 178 177..always remember you mean something to someone.']"
238,i am afraid i will fail again,i am afraid i will fail again,['failure is the stepping stone towards success.never fear failure.your hardwork and determination will help you reach your goal.']
239,what is depression?,what is depression?,"['depression\xa0is a mood disorder that causes a persistent feeling of sadness and loss of interest. also called major\xa0depressive\xa0disorder or clinical\xa0depression, it affects how you feel, think and behave and can lead to a variety of emotional and physical problems.']"
240,what are the causes of depression?,what are the causes of depression?,"[""it's complicated, and there are multiple\xa0causes\xa0of major\xa0depression. factors such as genetic vulnerability, severe life stressors, substances you may take (some medications, drugs and alcohol) and medical conditions can affect the way your brain regulates your moods.""]"
241,what are the top causes of depression?,what are the top causes of depression?,"['abuse. past physical, sexual, or emotional abuse can increase the vulnerability to clinical\xa0depression\xa0later in life.']"
242,which age group has the highest rate of depression?,which age group has the highest rate of depression?,['this number represented 7.1% of all u.s. adults. the\xa0prevalence\xa0of major\xa0depressive\xa0episode was higher among adult females (8.7%) compared to males (5.3%). the\xa0prevalence\xa0of adults\xa0with\xa0a major\xa0depressive\xa0episode was\xa0highest\xa0among individuals aged 18-25 (13.1%).']
243,which country has the highest rate of depression?,which country has the highest rate of depression?,"['the most depressed country is afghanistan, where more than one in five people suffer from the disorder. the least depressed is\xa0japan, with a diagnosed rate of less than 2.5 percent.']"
244,which country has the lowest rate of depression?,which country has the lowest rate of depression?,"['the most depressed country is afghanistan, where more than one in five people suffer from the disorder. the least depressed is\xa0japan, with a diagnosed rate of less than 2.5 percent.']"
245,is school a cause of depression?,is school a cause of depression?,"['not only\xa0does school\xa0sometimes contribute to\xa0depression,\xa0depression\xa0can also interfere with\xa0school. moreover, research shows that 75 percent of all mental health conditions begin by age 24. hence, the college years are a critical time for understanding and talking about teen mental health.']"
246,what is the biological cause of depression?,what is the biological cause of depression?,"[""there is no single\xa0cause\xa0for\xa0depression; rather it's a combination of stress and a person's vulnerability to developing\xa0depression. the predisposition to developing\xa0depression\xa0can be inherited. other\xa0biological causes\xa0for\xa0depression\xa0can include physical illness, the process of ageing and gender.""]"
247,how does depression affect the world?,how does depression affect the world?,['depression\xa0is a leading\xa0cause\xa0of disability worldwide and is a major contributor to the overall\xa0global\xa0burden of disease. more women are affected by\xa0depression\xa0than men.\xa0depression\xa0can lead to suicide. there are effective psychological and pharmacological treatments for moderate and severe\xa0depression.']
248,which race has the highest rate of depression?,which race has the highest rate of depression?,"['major depression was most prevalent among\xa0hispanics\xa0(10.8%), followed by\xa0african americans\xa0(8.9%) and\xa0whites\xa0(7.8%). the odds of depressive disorders among older\xa0hispanics\xa0were 44% greater than among\xa0whites\xa0(or = 1.44; 95% ci = 1.02, 2.04), representing a significantly greater prevalence of major depression.']"
249,what is the meaning of anxiety and depression?,what is the meaning of anxiety and depression?,"['depression\xa0and\xa0anxiety\xa0disorders are different, but people with\xa0depression\xa0often experience symptoms similar to those of an\xa0anxiety\xa0disorder, such as nervousness, irritability, and problems sleeping and concentrating. but each disorder has its own causes and its own emotional and behavioral symptoms.']"
250,does oversleeping cause depression?,does oversleeping cause depression?,"[""it's important to remember that\xa0oversleeping\xa0is a possible symptom of\xa0depression\xa0and that\xa0oversleeping\xa0doesn't\xa0cause depression. but it\xa0can\xa0exacerbate and worsen\xa0depression symptoms""]"
251,can lack of sleep make you feel sad?,can lack of sleep make you feel sad?,"['studies show\xa0people\xa0who are\xa0sleep\xa0deprived report increases in negative moods (anger, frustration, irritability,\xa0sadness) and decreases in positive moods. and sleeplessness is often a symptom of mood disorders, such as depression and anxiety.']"
252,is depression a side effect of diabetes?,is depression a side effect of diabetes?,"[""if you have\xa0diabetes\xa0— either type 1 or type 2 — you have an increased risk of developing\xa0depression. and if you're\xa0depressed, you may have a greater chance of developing type 2\xa0diabetes. the good news is that\xa0diabetes\xa0and\xa0depression\xa0can be treated together.""]"
253,can low blood sugar cause suicidal thoughts?,can low blood sugar cause suicidal thoughts?,"['the observed association between plasma\xa0glucose levels, insulin resistance\xa0and suicidal\xa0behaviour suggests that disturbances in\xa0glucose\xa0metabolism are associated with\xa0suicidal ideation and\xa0attempts.']"
254,how long can anxiety last?,how long can anxiety last?,"[""anxiety attacks\xa0usually peak within\xa010 minutes, and they rarely last more than\xa030 minutes. but during that short time, you may experience terror so severe that you feel as if you're about to die or totally lose control.""]"
255,what are the stages of anxiety?,what are the stages of anxiety?,"['anxiety levels\xa0are typically classified by the level of distress and impairment experienced into four categories namely, mild\xa0anxiety, moderate\xa0anxiety, severe\xa0anxiety\xa0and panic level\xa0anxiety.']"
256,at what age does anxiety peak?,at what age does anxiety peak?,"['adults\xa0ages\xa030 to 44 have the highest rate of\xa0anxiety\xa0of this\xa0age\xa0group, with around 23% of people this\xa0age\xa0reporting an\xa0anxiety\xa0disorder within the past year.']"
257,why is anxiety bad for you?,why is anxiety bad for you?,"['anxiety\xa0disorders can cause rapid heart rate, palpitations, and chest pain.\xa0you\xa0may also be at an increased risk of high blood pressure and heart disease. if\xa0you\xa0already have heart disease,\xa0anxiety\xa0disorders may raise the risk of coronary events.']"
258,what is the 3 3 3 rule for anxiety?,what is the 3 3 3 rule for anxiety?,"[""there's an\xa0anxiety-reducing technique called grounding. there are different versions of this, but an easy one to remember is the\xa03-3-3 rule. mentally note\xa0three\xa0things you see,\xa0three\xa0sounds you hear, and then move\xa0three\xa0parts of your body. this exercise can help your mind refocus on something else.""]"
259,do we control our thoughts?,do we control our thoughts?,"['we\xa0are aware of a tiny fraction of the\xa0thinking\xa0that goes on in\xa0our minds, and\xa0we can control\xa0only a tiny part of\xa0our\xa0conscious\xa0thoughts. the vast majority of\xa0our thinking\xa0efforts goes on subconsciously. ... slips of the tongue and accidental actions offer glimpses of\xa0our\xa0unfiltered subconscious mental life.']"
260,how many thoughts a day do we have?,how many thoughts a day do we have?,"[""a new study has suggested that an average person has 6,200\xa0thoughts\xa0per\xa0day. thousands of\xa0thoughts\xa0cross our mind through the\xa0day.\xa0many\xa0people even complain that they can't sleep immediately after going to bed as their brain\xa0does\xa0not stop thinking.""]"
261,how can we reduce anxiety?,how can we reduce anxiety?,"['3 3 3 rule is the best method to reduce anxiety.in this method you have to mentally note\xa0three\xa0things you see,\xa0three\xa0sounds you hear, and then move\xa0three\xa0parts of your body. this exercise can help your mind refocus on something else.']"
262,i am lonely!,i am lonely!,"[""you are never lonely if you look around carefully you will find people who care for you and would love to have your company. besides if you are feeling lonely literally i suggest you watch a horror movie then you won't feel lonely anymore. ;)""]"
263,no one likes me!,no one likes me!,"[""you really think that? i'd suggest you try helping someone who really needs your help you'll straight up get a person to like you just by being nice. kindness is the best gift you can offer to anyone :)""]"
264,i think i am ugly!,i think i am ugly!,"['well do you really think that? would you like to see the most beautiful face ever? open your webcam and voila, the prettiest face on this planet magically appears.']"
265,i am good for nothing!,i am good for nothing!,"['your perception of how good you are, will never be accurate. if you wake up everyday in the morning, smile to yourself and tell yourself that the day is yours to seize you might stop feeling that way. carpe diem! my friend.']"
